"id","kategorie","frage","option_a","option_b","option_c","option_d","option_e","richtig","erklaerung","is_free","mehrfach"
"160","Orientierung im Gelände","In welchem UTM-Band liegt überwiegend die Bundesrepublik Deutschland?","Im UTM-Band „A“","Im UTM-Band „X“","Im UTM-Band „B“","Im UTM-Band „U“","","d","","1","0"
"161","Orientierung im Gelände","Wie heißen die Schnittflächen von UTM-Zonen und –Bändern?","Bandfläche","Zonenfläche","Zonenfelder","Schnittmenge","","c","","1","0"
"162","Orientierung im Gelände","Wie lautet der Merksatz, um UTMREF-Koordinaten in der richtigen Reihenfolge anzugeben?","„Ran an den Baum, rauf auf den Baum“","„Rauf auf den Baum, ran an das Obst“","„Dran, Drauf, Drüber“","„An den Wurzeln fängt der Baum an zu wachsen“","","a","","1","0"
"163","Orientierung im Gelände","Auf wie viele Meter ist eine 8-stellige UTM-Koordinate genau?","1 Meter","50 Meter","10 Meter","100 Meter","","c","","0","0"
"164","Orientierung im Gelände","Aus welchen Angaben besteht eine vollständige UTM-Koordinate?","Zone / Band / 10 km Quadrat / Ostwert / Nordwert","Zone / Band / 100 km Quadrat / Ostwert / Nordwert","Zone / Band / 10 km Quadrat / Westwert / Südwert","Zone / Band / 100 km Quadrat / Westwert / Südwert","","b","","0","0"
"165","Orientierung im Gelände","Was ist ein Planzeiger?","Ein Hilfsmittel zum genauen Anzeigen der Höhe.","Ein Hilfsmittel zum genauen Ablesen der Richtung.","Ein Hilfsmittel zum genauen Ablesen von Koordinaten.","Ein Hilfsmittel zum genauen Anzeigen der Nordrichtung.","","c","","0","0"
"166","Orientierung im Gelände","Wie erkennt man zuverlässig auf einer topografischen Karte eine Steigung?","Höhenlinien in engem Abstand.","Höhenlinien in weitem Abstand.","Durch Höhenpfeile auf der Karte.","Durch farblich markierte Geländebereiche.","","a","","0","0"
"167","Orientierung im Gelände","In welcher Reihenfolge werden die UTM-Koordinaten angegeben?","Westwert dann Nordwert","Nordwert dann Westwert","Nordwert dann Ostwert","Ostwert dann Nordwert","","d","","0","0"
"168","Orientierung im Gelände","Wie ist die Erde auf topografischen Karten mit UTM Gitter eingeteilt?","Als Längsachse mit Längengraden.","Als Merkator-Projektion.","Als Zylinder mit Breitengrade.","Als Quadrat mit Höhen- und Tiefengraden.","","b","","0","0"
"169","Orientierung im Gelände","Welche der nachfolgenden Aussagen ist richtig?","Magnetischer Nordpol und geografischer Nordpol sind identisch.","Höhenlinien sind immer grün dargestellt.","Kartenzeichen sind nicht maßstabsgerecht wiedergegeben.","Geografischer Südpol und magnetischer Westpol sind identisch.","","c","","0","0"
"170","Orientierung im Gelände","Wofür steht GPS?","Grid Positioning System","Global Positioning System","Graduale Positionsserie","Gauß-Projektionssystem","","b","","0","0"
"171","Orientierung im Gelände","Welche Bedingungen sind für den Betrieb von GPS Geräten ideal?","Auf einer Anhöhe, mit der Antenne aufrecht in der Hand oder Brusttasche, möglichst wenig Hindernisse Richtung Himmel (Baumkronen)","Im Tal, unter dichten Laubbäumen","Ist egal, GPS funktioniert immer","Auf befestigten Wegen, ab vom Weg kann meine Position nicht angezeigt werden","","a","","0","0"
"172","Orientierung im Gelände","Wofür sollen GPS Handgeräte im Einsatz nicht eingesetzt werden?","Zum zusätzlichen Suchen von Geocaches.","Zum genauen Übermitteln des Fundortes.","Zum Übertragen des Suchgebietes an den/die Hundeführer:in.","Zum sicheren Absuchen des Suchgebietes, auch bei Nacht.","","a","","0","0"
"173","Einsatztaktik Trümmer/Trümmerkunde","Wie lassen Sie Ihren Hund im Trümmereinsatz arbeiten? (Grobsuche)","Ich lasse ihn von der Mitte aus zum Rand suchen.","Ich lasse ihn vom Rand in Richtung Schadensmittelpunkt suchen.","Nach SAR Norm – immer von rechts nach links.","So wie der Hund es gerade anbietet.","","b","","1","0"
"174","Einsatztaktik Trümmer/Trümmerkunde","Wozu dient die Phase der Erkundung im Rahmen eines Trümmereinsatzes?","Beschaffung möglichst sicherer Informationen über Anzahl und Aufenthalt betroffener Personen.","Beschaffung möglichst vieler Informationen über das territoriale Gebiet und seine geowissenschaftliche Eigenschaften.","Beschaffung möglichst sicherer Informationen über die Art und Anzahl der angeforderten H elfer.","Beschaffung möglichst vieler Informationen über die Leistungsfähigkeit der mitgeführten Ortungsausrüstung.","","a","","1","0"
"175","Einsatztaktik Trümmer/Trümmerkunde","Was sind die Vorteile der technischen Ortung?","Zeitlich sorgfältige Rüst- und Vorbereitungszeiten im Einsatz.","Die Bedienung der Technik ausschließlich durch geschultes Personal.","Die Gefährdungslage der Helfer beim Auslegen von Sensoren.","Das kleine Ladevolumen, die Nutzung im Dauereinsatz und die Möglichkeit zu Sprachkontakt.","","d","","1","0"
"176","Einsatztaktik Trümmer/Trümmerkunde","Was sind die Vorteile der biologischen Ortung?","Die biologische Ortung ist tagesformunabhängig. Erholungspausen sind nicht erforderlich.","Die biologische Ortung kann auch bei Feuer und Chemikalien eingesetzt werden.","Die biologische Ortung ermöglicht ein schnelles Absuchen der Trümmerlage  mit einer geringen Belastung der Trümmerstruktur.","Das Ladevolumen, die Nutzung im Dauereinsatz.","","c","","1","0"
"177","Einsatztaktik Trümmer/Trümmerkunde","Worauf braucht man beim Betreten der Trümmer nicht zu achten?","Sich keinesfalls allein auf die Trümmer begeben.","Beim Herauslösen von Trümmerteilen Vorsicht bewahren.","Schwingungen vermeiden.","Beachtung der Tageszeit und Jahreszeit.","","d","","1","0"
"178","Einsatztaktik Trümmer/Trümmerkunde","Welche Besonderheit ist beim Vordringen in die Trümmer zu beachten?","Die vorhandenen Hohlräume und Öffnungen nutzen.","Dem Hund unmittelbar auf den Trümmerkegel folgen.","Der Hund muss eine Kenndecke tragen, um für alle erkennbar zu sein.","Die Tageszeit ist zu beachten, da sie Auswirkungen auf die Belastbarkeit der Trümmer hat.","","a","","0","0"
"179","Einsatztaktik Trümmer/Trümmerkunde","Was ist zuerst zu veranlassen, wenn ausströmendes Gas vermutet wird?","Den Rettungshund sofort in Sicherheit bringen.","Die Benutzung von offenem Feuer, elektrischen Anlagen und anderen Zündquellen sofort untersagen.","Die Gaskonzentration ist sofort zu messen.","Fenster und Türen sind umgehend zu öffnen.","","b","","0","0"
"180","Einsatztaktik Trümmer/Trümmerkunde","Welche Maßnahme eignet sich nicht zum Vordringen in die Trümmer eingestürzter Gebäude?","Die Trümmer möglichst nicht bewegen oder entfernen.","Vom unbeschädigten oder wenig beschädigten Teil des Gebäudes aus durch Wand - und Deckenbruch vordringen.","Vorhandene Hohlräume und Öffnungen beim Vordringen ausnutzen.","Möglichst schnell die Trümmer wegräumen, als den zeitlichen Aufwand von Wand - und Deckendurchbrüchen zu betreiben.","","d","","0","0"
"181","Einsatztaktik Trümmer/Trümmerkunde","Welcher der folgenden Faktoren hat keinen Einfluss auf die Geruchsverteilung in Trümmerkegeln?","Thermik.","Windverwirbelungen.","Bergwind.","Wind- und Geruchskanal.","","c","","0","0"
"182","Einsatztaktik Trümmer/Trümmerkunde","Sie arbeiten im Einsatz ohne Helfer auf einem Trümmergebiet. Ihr Hund zeigt eine vermeintliche Fundstelle an. Wie verhalten Sie sich?","Ich lege meinen Hund ab. Melde den Fund der Einsatzleitung und warte auf Hilfe.","Eine solche Situation ist nicht denkbar, da ich nicht alleine arbeite.","Ich markiere die Fundstelle mit einem Fähnchen / Spray und suche danach weiter.","Ich rufe mit Funk nach Hilfe und beginne sofort mit der „Rettung“.","","b","","0","0"
"183","Einsatztaktik Trümmer/Trümmerkunde","In der Schadensklassifizierung an zerstörten Gebäuden gibt es den Begriff „Randtrümmer“. Was wird darunter verstanden?","Trümmer, die im Verlauf der Suche am Rande, d.h. zufällig, mit abgesucht werden.","Trümmer, die einen scharf gezackten Rand aufweisen.","Trümmer, die am Rande eines Trümmerkegels liegen.","Den Rand von eingestürzten Wänden in einem zerstörten Haus.","","c","","0","0"
"184","Einsatztaktik Trümmer/Trümmerkunde","Worauf müssen Sie beim Einsatz in Trümmern besonders achten?","Es ist auf die Tages- bzw. Nachtzeit zu achten.","Dass Anwohner durch die Rettungsmaßnahmen nicht gestört werden.","Dass die Rettungsmaßnahmen für Betroffene erst eingeleitet werden, wenn alle vermissten Personen gefunden wurden.","Es ist auf die Standsicherheit der Trümmer zu achten und im Besonderen muss man sich aus „Trümmerschattenbereichen“ fernhalten.","","d","","0","0"
"185","Einsatztaktik Trümmer/Trümmerkunde","Was versteht man in der Schadensklassifizierung an zerstörten Gebäuden unter dem Begriff „Rutschfläche“?","Ein schräg abwärts angelegtes Brett, das zum schnellen Abtransport von Trümmerteilen dient.","Ein spezielles Gerät, das bei der Ausbildung der Hunde zum Trümmersuchhund benötigt wird.","Die Flächen in Gebäuden, die durch Feuchtigkeit zur Rutschfläche werden.","Schräg abgestürzte Deckenelemente, die auf einer Seite noch aufliegen und auf denen die Trümmer der höher liegenden Räume abgerutscht sind.","","d","","0","0"
"186","Einsatztaktik Trümmer/Trümmerkunde","Wie hoch kann die Überlebenswahrscheinlichkeit in einem „ausgefüllten Raum“ für mögliche Opfer sein?","Die Überlebenswahrscheinlichkeit ist sehr hoch, da das Wasser die Wände stabilisiert.","Die Überlebenswahrscheinlichkeit ist praktisch null, da vermutlich alle Opfer erstickt sind.","In einem ausgefüllten Raum können sich keine lebenden Personen befinden, da er ja „ausgefüllt“ ist.","Die Überlebenswahrscheinlichkeit ist sehr hoch, da der menschliche Körper durch das Wasser nach oben getrieben wird.","","b","","0","0"
"187","Einsatztaktik Trümmer/Trümmerkunde","Bei Überbeanspruchung der Struktur eines Gebäudes durch Explosion oder Erdbeben stürzt ein Gebäude in sich zusammen. Es wird in der Trümmerlandschaft eine neue, durch Trümmerteile gebildete Struktur hervorgebracht. Wie bewerten Sie diese neue Struktur?","Die Struktur ist extrem stabil, weil sie sich selbst gebildet hat.","Die Struktur ist absolut instabil.","Die Struktur ist extrem labil, weil sie sich ständig selbst verändert.","Die Struktur ist stabil, aber trügerisch, weil es noch nach Stunden zu „Setzvorgängen“ kommen kann.","","d","","0","0"
"188","Einsatztaktik Trümmer/Trümmerkunde","Eine „Schichtung“ besteht aus mehreren übereinander liegenden Rutschflächen. Wo sind Ihrer Meinung nach Opfer zu erwarten?","An der oberen Kante der Schichtung, weil alle Trümmerteile nach unten gerutscht sind.","An der unteren Kante und zwischen den Rutschflächen am unteren Ende, weil mögliche Opfer mit den Trümmern gerutscht sind.","Aus dieser Feststellung können keine Vermutungen gezogen werden.","Nur außerhalb der Schichtung, weil alle Opfer herausgeschleudert werden.","","b","","0","0"
"189","Einsatztaktik Trümmer/Trümmerkunde","Welche Bauweise kann nach einem Zusammenbruch ihrer Struktur durch eine Explosion oder ein Erdbeben für verschüttete Opfer noch einen gewissen Schutz bieten?","Häuser in Lehmbauweise, da diese durch ihr geringeres Gewicht die Opfer nicht so  schnell erdrücken.","Häuser aus Ziegelmauerwerk bieten einen hohen Schutz, weil sie in kleine Trümmer zerfallen.","Häuser in Stahlbeton-/Skelettbauweise bieten nach dem Zusammenbruch noch viele Hohlräume durch große Trümmerteile, die oft noch durch Stahl verbunden sind.","Fertighäuser, weil diese in ihre Fertigbauteile zerfallen.","","c","","0","0"
"190","Einsatztaktik Trümmer/Trümmerkunde","Die UN hat in ihrer Arbeitsgruppe INSARAG ein einheitliches System zur Kennzeichnung von Schadenstellen entwickelt. Was kann aus dieser Kennzeichnung ersehen werden?","Eingesetzte Einheiten bzw. Einsatzeinheiten, Gefahren, vermisste Personen, gerettete Personen, Tote und Einsatzende.","Ort, Zeit, Wetterlage, durchgeführte Maßnahmen und der zuständige Einsatzleiter.","Ruhe- und Einsatzzeiten der Einsatzkräfte, vorgefundene Lage und Maßnahmen die noch getroffen werden müssen.","Gerettete Personen, Telefonnummern der Einsatzleitung, eingesetzte Kräfte und Material.","","a","","0","0"
"191","Einsatztaktik Trümmer/Trümmerkunde","Wann spricht man von einem teilzerstörten / teils zusammengebrochenen Gebäude?","Wenn einzelne Teile des Gebäudes beschädigt wurden, das Gebäude aber in seiner äußeren Form noch erhalten ist.","Wenn durch Vandalismus im Gebäude die Einrichtungsgegenstände zerstört wurden.","Wenn das Gebäude nicht mehr erkennbar ist und einen geschlossenen Trümmerkegel bildet.","Wenn Teile des Gebäudes eingestürzt sind und einen Trümmerkegel bilden, andere Teile des Gebäudes jedoch in ihrer Struktur noch erhalten sind.","","d","","0","0"
"192","Einsatztaktik Trümmer/Trümmerkunde","Wann spricht man von einem total zerstörten / total zusammengebrochenen Gebäude?","Wenn das Gebäude nicht mehr erkennbar ist und einen geschlossenen Trümmerkegel bildet.","Wenn einzelne Teile des Gebäudes beschädigt wurden, das Gebäude aber in seiner äußeren Form noch erhalten ist.","Wenn durch eine äußere Einwirkung (Explosion, Erdbeben) über 60% der Dachziegel fehlen.","Wenn Teile des Gebäudes eingestürzt sind und einen Trümmerkegel bilden, andere Teile des Gebäudes jedoch in ihrer Struktur noch erhalten sind.","","a","","0","0"
